Name,Sex,Weight
Panagiotis Adamidis,M,
Panagiotis Adamidis,M,
Tadeusz Ralf Adamowski,M,70.0
"Robert ""Bob"" Adams",M,
Bridget Shirley Adams (-Bengough),F,
Natalie Cammile Adams (-Brannan),F,65.0
Natalie Cammile Adams (-Brannan),F,65.0
Edgar Holmes Adams,M,
Edgar Holmes Adams,M,
Edgar Holmes Adams,M,
Edgar Holmes Adams,M,
Edgar Holmes Adams,M,
Edward Adams,M,
"Francis ""Frank"" Adams",M,68.0
"Francis ""Frank"" Adams",M,68.0
"Frederick Thomas ""Fred"" Adams",M,
Lyukman Rasakovich Adams,M,87.0
Maureen Adams,F,68.0
Adrian Neil Adams,M,78.0
Adrian Neil Adams,M,78.0
Adrian Neil Adams,M,78.0
Walter Adams,M,67.0
Walter Adams,M,67.0
Dariusz Adamus,M,94.0
Yasemin Adar,F,75.0
Simon Addo,M,79.0
Simon Addo,M,79.0
Eugene Addor,M,
Ebenezer Charles O. Addy,M,70.0
Ulrike Adeberg (-Spielmann),F,60.0
Adewale Adegbusi,M,67.0
Peter Adelaar,M,135.0
Peter Adelaar,M,135.0
Biko Adema,M,85.0
Adeoye Adetunji,M,71.0
Isiaq Adeyanju,M,65.0
Isiaq Adeyanju,M,65.0
Isiaq Adeyanju,M,65.0
Isiaq Adeyanju,M,65.0
Fatai Adeyemo,M,
Arman Adikyan,M,66.0
"Charles ""Chuck"" Adkins",M,
Gregor Nils Henric Adlercreutz,M,
Gregor Nils Henric Adlercreutz,M,
Megra Admassou,M,65.0
Sune Roland Adolfsson,M,74.0
Sune Roland Adolfsson,M,74.0
Svajnas Adomaitis,M,55.0
Daniel Adomako,M,69.0
Jnos Adorjn,M,83.0
Omar Adorno,M,51.0
"Fredua Koranteng ""Freddy"" Adu",M,66.0
Martha Adusei,F,64.0
Martha Adusei,F,64.0
Serhiy Mykolaiovych Advena,M,82.0
Serhiy Mykolaiovych Advena,M,82.0
Serhiy Mykolaiovych Advena,M,82.0
Serhiy Mykolaiovych Advena,M,82.0
Adyaagiin Jgdernamjil,M,52.0
Viktoriya Adyeva,F,55.0
Olga Olegovna Adzhigerskaya,F,65.0
Adolf Aebersold,M,
Christian Aebli,M,95.0
Eduard Aellig,M,93.0
Luca Aerni,M,80.0
Jammal-ud-Din Affendi,M,
Ahmed Afifi,M,92.0
"Olabisi ""Bisi"" Afolabi",F,62.0
"Olabisi ""Bisi"" Afolabi",F,62.0
"Olabisi ""Bisi"" Afolabi",F,62.0
"Olabisi ""Bisi"" Afolabi",F,62.0
Alphonsine Agahozo,F,50.0
Luca Agamennoni,M,93.0
Luca Agamennoni,M,93.0
Luca Agamennoni,M,93.0
Luca Agamennoni,M,93.0
Arturo Ernesto Agard,M,96.0
Andre Kirk Agassi,M,80.0
Andre Kirk Agassi,M,80.0
Gladstone Agbamu,M,74.0
Leopold Agbazo,M,54.0
Craig John Agena,M,66.0
Ronald Jean-Martin Agnor,M,79.0
Ronald Jean-Martin Agnor,M,79.0
Sven Ingvar Agge,M,
Adalbert Agh,M,90.0
Istvn gh,M,82.0
Istvn gh,M,82.0
Norbert gh,M,78.0
Norbert gh,M,78.0
Olivr gh,M,78.0
Olivr gh,M,78.0
Olivr gh,M,78.0
Aurlien Agnan,M,62.0
Marc Agosta,M,60.0
"Andrew ""Andy"" Agosto",M,51.0
Norisbeth Isais Agudo Gonzlez,F,55.0
Ernesto Agero Shell,M,163.0
Jos Luiz Aguiar e Ramalho,M,
Barry Aguibou,M,51.0
Judith guila Hernndez,F,80.0
Judith guila Hernndez,F,80.0
Enrique Aguilar Zermeno,M,54.0
Luis Aguilar,M,85.0
Severino Aguilar Fruto,M,70.0
Carlos Aguirre,M,64.0
Carlos Aguirre,M,64.0
Juan Luis Aguirre Barco,M,
Rolando Julin Aguirre Barreyro,M,
Manuel Agustn Peypoch,M,
Gurn Fema gstsdttir,F,56.0
Gurn Fema gstsdttir,F,56.0
Robyn Mokihana Ah Mow-Santos,F,67.0
Robyn Mokihana Ah Mow-Santos,F,67.0
Robyn Mokihana Ah Mow-Santos,F,67.0
Sabiahmad Abdullah Ahad,M,68.0
"Maria ""Ria"" Ahlers (-Steenpaal)",F,68.0
"Maria ""Ria"" Ahlers (-Steenpaal)",F,68.0
Nils Bertil Ahlin,M,
Christian Ahlmann,M,80.0
Christian Ahlmann,M,80.0
Christian Ahlmann,M,80.0
Christian Ahlmann,M,80.0
Christian Ahlmann,M,80.0
Christian Ahlmann,M,80.0
Christian Ahlmann,M,80.0
Christian Ahlmann,M,80.0
Bengt Anders Ahlstrm,M,72.0
"Sten Olov ""Olle"" hlund",M,
"Sheikh Mahmood ""Joe"" Ahmad",M,63.0
Maqsood Ahmad,M,60.0
Abdul Lahij Ahmed,M,55.0
Adnan Ahmed,M,70.0
Mahmoud Ahmed,M,82.0
Masood Mirza Ahmed,M,
Zemzem Ahmed Deko,F,53.0
Manfred Ahne,M,77.0
Seppo Johannes Ahokainen,M,82.0
Odile Ahouanwanou,F,71.0
